File,TIME,VALUE,DURATION,LABEL,Who,Function,Mistake,Negociation,Communicating difficulty,Novelty and Surprise,Joyful,Joke,In Chatter,External,Order,Laughter type,Disruptiveness,Self-involvement,Duration,Description
,4.49015873,1,6.156190476,Joke  1-2,subset,Joke (external),,,,,,1,,1,after joke,Laughter,partial,no,1,"Joke, observational, from someone in the group, laughter respose"
,32.99555556,1,4.408888889,Moving in the right direction,subset,Convey difficulty,,1,,,,,,,after instruction,Laugh,partial,yes,1,"Instructions pose simple task as challenge, laugh in agreement, trepidation at task"
,51.93142857,1,1.96861678,Finn giggle,Lead,Nervous,,,1,,,,,,solo,Giggle,partial,yes,1,"Laugh during instruction, pause to gather thoughts"
,92.63020408,1,1.933061224,chitter,few,Joke (external),,,,,,1,,1,after observation,Titter,no,no,1,"Laugh at obvious statement, just a few not group"
,121.9918367,1,5.851428571,Mistake group laugh,group,Mistake acknowledgement,1,,,,,,,,after correction,"Big laugh, cheer,",yes,partial,3,"Laugh after participant corrects leads mispoken directions, after interval of focused quiet instruction, releasing tension from effort to perform and power between lead and group"
,148.3377778,1,2.438095238,Confusion between directions giggle,few,Resolve confusion,,1,,,,,,,after confusion between instructor and participant,Titter,partial,partial,1,Laugh at resolution (passing over) maybe with undersatnding or confusion
,180.5583673,1,5.945034014,Scattered chortle and chatter,subset,Convey difficulty,,,1,,,,1,,after instruction,titter and laugh,no,yes,2,"Laugh at ""and thats it"" description of dance so far and how segment is used"
,187.6926984,1,3.90893424,Success hoot,subset,Success,,,,,1,,,,group,Laugh and cheer,yes,yes,2,"Laugh scattered across group as they understand they have the ""full"" dance sequence"
,213.5771655,1,5.243356009,Response to How did that feel?,group,Success and Trepidation,,1,,,1,,,,after question,Laughter and clapping,yes,yes,1,"After question about how that trial felt, expressing mixed feelings, difficulty rather than confidence"
,226.2726531,1,1.515102041,Finn mistake diffusion,Lead,Mistake acknowledgement,1,,,,,,,,after mistake,Laughter,no,yes,1,After lead mispeaks again and abdicates the task of calling during this trial
,255.6952381,1,7.366530612,group laugh problem re space,group,Negotiation/Convey difficulty,,1,,,,,1,,after observation,Laughter and chatter,yes,yes,3,After observation from participant that they are shifting and running out of space for the dance in this tight room (problem)
,289.1232653,1,4.075102041,Turn Trepidation laughter no no,subset,Negotiation/Convey difficulty,,,,,,,,,after instruction ,giggle and laugh,yes,yes,1,"After demonstration of how steps continue with different orientation, subset react with trepidation ""no no"" and laughter at challenge"
,293.5118367,1,6.493061224,Scattered giggling,subset,Convey difficulty,,,1,,,,,,during instruction,giggling,partial,partial,2,Scattered laughter continues during instruction 
,318.171,1,0.7,Finn laugh at mistake,Lead,Mistake acknowledgement,1,,,,,,,,during calling,giggle,no,yes,1,"During calling in a demonstration, lead laughs at self after struggling to say the right words"
,325.8514286,1,2.403265306,Laughter group success,group,Success,,,,,1,,,,after Lead points out group in the right direction,laugh and woop and clap,yes,yes,2,"Trial ends and lead turns to see participants and acknowledges ""OK everybody is in the right direction!"" and then the group laughs and clap for themselves."
